incoming_id,true_verdict,true_matched_record_id,true_matched_master_id,error_type,explanation
INC-001,MATCH,SYS-002,SYS-002,CORRECT,"Process correctly matched Northwell Lenox Hill master. Minor abbreviations (E 77th vs East 77th, Hosp vs Hospital) are acceptable formatting variations. Valid match."
INC-002,MATCH,SYS-016,SYS-016,CORRECT,Process correctly matched MGH master. Full name and address align. Valid match.
INC-003,MATCH,SYS-073,SYS-073,CORRECT,Process correctly matched MassDOT master. Name abbreviation and address align exactly. Valid match.
INC-004,MATCH,SYS-058,SYS-058,CORRECT,Process correctly matched JLL Chicago HQ master. Name and address align. Valid match.
INC-005,MATCH,SYS-006,SYS-005,CORRECT,Process correctly matched LIJ Oncology site. Valid parent-child relationship: LIJ Oncology rolls up to Northwell LIJ master. Address and entity align. Valid match.
INC-006,MATCH,SYS-046,SYS-045,CORRECT,"Process correctly matched ABM Logan Airport site. Valid relationship: ABM Logan rolls up to ABM Boston Region master. Ops Ctr vs Ops Center is an abbreviation not a location difference. Valid match."
INC-007,NO_MATCH,SYS-050,SYS-050,FALSE_POSITIVE,"Incoming is Aramark Corporate HQ at 1101 Market St Philadelphia. Process returned Aramark Boston Region (415 Summer St, Boston) — completely different entity and address. Same parent company does not make them the same Master. Address mismatch is disqualifying."
INC-008,NO_MATCH,SYS-031,SYS-030,WRONG_MASTER,"Process found correct site (Mount Sinai Hospital, SYS-031) but assigned wrong master (Northwell Health, SYS-001). Mount Sinai is an independent health system with no relationship to Northwell. Correct master is SYS-030 (Mount Sinai Health System). Wrong master relationship makes this invalid."
INC-009,NO_MATCH,SYS-078,SYS-078,FALSE_POSITIVE,"Process matched Boston City Hall to Boston Public Schools (SYS-080, 2300 Washington St, Roxbury) — completely different entity at a completely different address. Correct record is SYS-078 (Boston City Hall, 1 City Hall Square). Gross false positive."
INC-010,NO_MATCH,SYS-085,SYS-085,FALSE_POSITIVE,Kansas City USD 500 (Missouri) is a completely distinct entity from Boston Public Schools (Massachusetts). NLP matched on Department of Education token overlap and ignored address entirely. Same name different address = different entity. Correct record is SYS-085 (Kansas City USD 500 Central Admin).
INC-011,NO_MATCH,SYS-063,SYS-063,FALSE_POSITIVE,"Incoming is CW NYC (1290 Ave of the Americas, New York NY). Process returned CW Boston (SYS-065, 125 High St, Boston MA). These are separate Masters in different cities. CW NYC does not roll up to CW Boston Master. Same company name is insufficient — address and Master relationship are both wrong."
INC-012,MATCH,SYS-024,SYS-024,CORRECT,Boston Children's Hospital (SYS-024) clearly exists in system and matches the incoming record exactly. Process returned NO_MATCH — false negative. Agent should reject the NO_MATCH verdict and identify SYS-024 as the correct match.
INC-013,MATCH,SYS-055,SYS-055,CORRECT,"CBRE Boston Office (SYS-055, 200 State St Floor 5) exists in system and matches the incoming record exactly. Process returned NO_MATCH — false negative. Agent should reject the NO_MATCH verdict and identify SYS-055 as the correct match."
INC-014,NEEDS_REVIEW,SYS-087,SYS-087,WRONG_LEVEL,"Incoming is Massport Authority headquarters (Suite 200S address matches master SYS-087). Process returned Site SYS-088 (Logan Terminal B) — wrong hierarchy level. Correct match is Master SYS-087. Agent should flag for review: right company and master shown, but matched record is wrong level."
